26, Spain,37.5,38.5,38.9,39.4,40.3,43.4,46.2,46.5,46.8,46.9 48411,47.1 48411
73, Sri Lanka,15,16.2,17.3,18.2,18.8,20,20.8,20.9,21.1,21.3 m,21.4 m
167, Sudan,14.4,17.1,20,24.5,27.7,31.6,35.7,36.4,37.2,38.0 m,38.8 m
103, Suriname,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5 m,0.5 m
150, Swaziland,0.6,0.7,0.9,1,1.1,1.1,1.2,1.2,1.2,1.3 m,1.3 m
14, Sweden,8.3,8.4,8.6,8.8,8.9,9,9.4,9.4,9.5,9.6 m,9.6 m
3, Switzerland,6.3,6.5,6.7,7,7.2,7.4,7.8,7.9,8,8.1 m,8.2 m
134, Syrian Arab Republic,9,10.7,12.5,14.3,16.4,18.2,21.5,21.8,21.9,21.9 m,22.0 m
129, Tajikistan,3.9,4.5,5.3,5.8,6.2,6.8,7.6,7.8,8,8.2 m,8.4 m
151, Tanzania (United Republic of),18.7,21.9,25.5,29.9,34,38.8,45,46.4,47.8,49.3 m,50.8 m
93, Thailand,47.4,52,56.6,59,62.3,65.6,66.4,66.6,66.8,67.0 m,67.2 m
81, The former Yugoslav Republic of Macedonia,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.1,2.1 m,2.1 m
133, Timor-Leste,0.6,0.7,0.8,0.9,0.9,1,1.1,1.1,1.1,1.1 m,1.2 m
162, Togo,2.7,3.3,3.8,4.3,4.9,5.5,6.3,6.5,6.6,6.8 m,7.0 m
100, Tonga,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 m,0.1 m
64, Trinidad and Tobago,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3 m,1.3 m
96, Tunisia,6.3,7.2,8.1,9,9.6,10.1,10.6,10.8,10.9,11.0 m,11.1 m
72, Turkey,43.9,49.2,54,58.5,63.2,67.7,72.1,73.1,74,74.9 m,75.8 m
109, Turkmenistan,2.9,3.2,3.7,4.2,4.5,4.7,5,5.1,5.2,5.2 m,5.3 m
.., Tuvalu,0,0,0,0,0,0,0,0,0,0.0 m,0.0 m
163, Uganda,12.6,14.7,17.5,20.7,24.3,28.7,34,35.1,36.3,37.6 m,38.8 m
81, Ukraine,50,50.9,51.7,51.1,49.1,47.1,46,45.8,45.5,45.2 m,44.9 m
41, United Arab Emirates,1,1.3,1.8,2.3,3,4.1,8.4,8.9,9.2,9.3 m,9.4 m
14, United Kingdom,56.3,56.5,57.2,58,59,60.3,62.1,62.4,62.8,63.1 m,63.5 m
8, United States,230.2,241.9,254.5,268,284.6,298.2,312.2,314.9,317.5,320.1 m,322.6 m
52, Uruguay,2.9,3,3.1,3.2,3.3,3.3,3.4,3.4,3.4,3.4 m,3.4 m
114, Uzbekistan,16,18.2,20.6,23,24.8,26,27.8,28.2,28.5,28.9 m,29.3 m
134, Vanuatu,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3 m,0.3 m
71, Venezuela (Bolivarian Republic of),15.1,17.3,19.7,22.1,24.4,26.7,29,29.5,30,30.4 m,30.9 m
116, Viet Nam,54.9,61.7,68.9,76,80.9,84.9,89,89.9,90.8,91.7 m,92.5 m
160, Yemen,7.9,9.7,11.8,15,17.5,20.1,22.8,23.3,23.9,24.4 m,25.0 m
139, Zambia,5.8,6.8,7.8,8.8,10.1,11.5,13.2,13.6,14.1,14.5 m,15.0 m
155, Zimbabwe,7.3,8.9,10.5,11.6,12.5,12.7,13.1,13.4,13.7,14.2 m,14.6 m
